Campaign Name,Start Date,End Date,Channels,Key Metrics,Budget,Sales,Profit
Back to Productivity,09/01/2021,10/01/2021,"Email Marketing, Paid Search","ROAS, Customer Lifetime Value (CLV)","4,000",7013.709,656.7666
Year-End Office Upgrade,11/01/2021,12/01/2021,"Paid Search, Social Media Ads (LinkedIn)","Conversion Rate, ROAS","6,000",28175.457,3462.7456
Tax Season Organization,02/01/2022,03/01/2022,"Paid Search, Email Marketing","CPA, Conversion Rate","7,500",33265.809,-938.9666
Welcome Back: Refresh Your Workspace,05/01/2022,06/01/2022,"LinkedIn Ads, Paid Search, Display Ads","ROAS, Lead Generation (para muebles)","12,000",28038.845,3636.7729
Summer Sanity Sale,07/01/2022,08/01/2022,"Social Media Ads, Email Marketing","CTR, Conversion Rate","8,000",66974.1925,8121.973
The Hybrid-Ready Office,10/01/2022,11/01/2022,"Content Marketing (Blog), Paid Search","ROAS, CPA","10,000",38336.4536,9917.8952
"New Year, New Gear",01/01/2023,02/01/2023,"Email Marketing, Social Media Ads","Customer Retention Rate, ROAS","9,000",25594.996,2984.2541
Spring Cleaning & Storage Solutions,04/01/2023,05/01/2023,"Pinterest Ads, Google Shopping, Paid Search","Conversion Rate, Average Order Value (AOV)","11,000",67228.843,8640.492
Go Green: Eco-Friendly Office,06/01/2023,07/01/2023,"Content Marketing, LinkedIn Ads, Email Marketing","Engagement Rate, CTR, ROAS","15,000",77385.1755,13032.7152
Q4 Budget Blowout,10/01/2023,12/01/2023,"Paid Search, Email Marketing, Retargeting Ads","ROAS, CPA, Conversion Rate","20,000",48906.743,1926.2321
The Ergonomic Upgrade,02/01/2024,03/01/2024,"LinkedIn Ads, Paid Search, Content Marketing","Lead Conversion Rate, ROAS","18,000",37803.337,3977.0575
Future-Proof Your Office,01/01/2024,05/01/2024,"Paid Search, Display Ads, YouTube Ads (Reviews)","Video View Rate, CTR, ROAS","22,000",43434.31,5509.1446
Back-to-Business Power Up,08/01/2024,09/01/2024,"Email Marketing, Social Media Ads, Paid Search","ROAS, AOV","25,000",44259.214,7231.6391
Black Friday for Business,11/01/2024,11/01/2024,"Email Marketing (Segmentado), Paid Search, Social Media Ads","Conversion Rate, ROAS","15,000",34914.4181,-39.2686
Holiday Gifting & Shipping,12/01/2024,12/01/2024,"Google Shopping, Email Marketing","CPA, ROAS","14,000",46105.4742,8049.1711
Tax Time Tamed,02/01/2025,03/01/2025,"Paid Search (keywords de nicho), Email Marketing","ROAS, Conversion Rate","20,000",43622.446,6386.4893
The Complete Office Refresh,04/01/2025,06/01/2025,"LinkedIn Ads, Paid Search, Display Retargeting, Content Marketing","Cost Per Lead (CPL), ROAS, AOV","35,000",90686.602,11454.6862
Summer Productivity Boost,07/01/2025,08/01/2025,"Social Media Ads, Email Marketing, Paid Search","Engagement Rate, CPA","28,000","91,820.31","8,705.35"
